,description,tags,price,product_id,image
43,"Panthère de Cartier ring, 18K yellow gold, black lacquer, set with 5 brilliant-cut diamonds totaling 0.02 carat. Tsavorite garnet.","yellow gold, lacquer, diamonds, tsavorite garnet",7550.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/62/08/05/620805.png
44,"Panthère de Cartier ring, 18K pink gold, set with 5 brilliant-cut diamonds totaling 0.02 carats. Tsavorite garnets, onyx, black lacquer.","pink gold, tsavorite garnets, onyx, black lacquer, diamonds",7550.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/14/65/62/0/1465620.png
45,"Panthère de Cartier ring, 18K pink gold, onyx, black lacquer, set with 2 tsavorite garnets.","pink gold, tsavorite garnets, onyx",7550.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/16/49/50/6/1649506.png
46,"Panthère de Cartier ring, 18K pink gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat.","pink gold, onyx, emeralds, diamonds",9850.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/7/1811857.png
47,"Panthère de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat.","yellow gold, emeralds, onyx, diamonds",9850.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/8/1811858.png
48,"Panthère de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat.","white gold, emeralds, onyx, diamonds",10600.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/9/1811859.png
49,"Panthère de Cartier ring, 18K yellow gold and black lacquer. Tsavorite garnets, onyx.","yellow gold, lacquer, tsavorite garnet, onyx",11200.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/15/17/90/9/1517909.png
50,"Panthère de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 112 brilliant-cut diamonds totaling 0.95 carat.","yellow gold, emeralds, onyx, diamonds",12900.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/5/1811855.png
51,"Panthère de Cartier ring, 18K yellow gold, set with 17 brilliant-cut diamonds totaling 0.04 carats. Tsavorite garnets, onyx.","yellow gold, onyx, tsavorite garnets, diamonds",13600.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/10/54/39/0/1054390.png
52,"Panthère de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 112 brilliant-cut diamonds totaling 0.95 carat.","white gold, emeralds, onyx, diamonds",13900.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/6/1811856.png
53,"Panthère de Cartier ring, 18K white gold, set with 81 brilliant-cut diamonds totaling 0.75 carat. Emeralds, onyx.","white gold, diamonds, emeralds, onyx",19500.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/59/21/32/592132.png
54,"Panthère de Cartier ring, 18K yellow gold, tsavorite garnets, onyx.","yellow gold, tsavorite garnets, onyx",20000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/59/84/08/598408.png
55,"Panthère de Cartier ring, 18K yellow gold, set with 137 brilliant-cut diamonds totaling 1.15 carats. Emeralds, onyx.","yellow gold, diamonds, emeralds, onyx",20700.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/14/41/41/2/1441412.png
56,"Panthère de Cartier ring, non-rhodiumized 18K white gold, set with 2 tsavorite garnets eyes and an onyx nose.","non-rhodiumized white gold, tsavorite garnets, onyx",21400.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/77/79/61/777961.png
57,"Panthère de Cartier ring, 18K white gold, set with 137 brilliant-cut diamonds totaling 1.15 carats. Emeralds, onyx.","white gold, diamonds, emeralds, onyx",22200.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/14/41/40/9/1441409.png
58,"Panthère de Cartier ring, 18K yellow gold and black lacquer. Peridots, onyx.","yellow gold, lacquer, peridots, onyx",25300.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/61/34/77/613477.png
59,"Panthère de Cartier ring, 18K white gold, set with 171 brilliant-cut diamonds totaling 0.89 carats. Emeralds, onyx.","white gold, emeralds, onyx, diamonds",25900.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/10/54/43/2/1054432.png
60,"Panthère de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 242 brilliant-cut diamonds totaling 2.21 carats.","yellow gold, emeralds, onyx, diamonds",35700.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/12/60/5/1812605.png
61,"Panthère de Cartier ring, 18K white gold, set with 285 diamonds totaling 2.39 carats. Emeralds, onyx.","white gold, diamonds, emeralds, onyx",37100.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/58/61/93/586193.png
62,"Panthère de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 264 brilliant-cut diamonds totaling 1.66 carats.","white gold, emeralds, onyx, diamonds",37600.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/16/49/50/7/1649507.png
63,"Panthère de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 242 brilliant-cut diamonds totaling 2.21 carats.","white gold, emeralds, onyx, diamonds",38200.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/12/71/6/1812716.png
64,"Ring - white gold, pear-shaped emerald eyes, onyx, brilliant-cut diamonds.","white gold, emeralds, onyx, diamonds",171000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/58/47/11/584711.png
65,"Ring - 950‰ platinum, 700 brilliant-cut diamonds totaling 5.05 carats, sapphires, emeralds, onyx.","platinum, sapphires, emeralds, onyx, diamonds",217000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/10/16/77/8/1016778.png
66,"Panthère de Cartier ring, 18K white gold, set with 365 brilliant-cut diamonds totaling 2.55 carats. Emeralds, onyx.","white gold, diamonds, emeralds, onyx",55500.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/59/34/76/593476.png
67,"Panthère de Cartier ring, 18K white gold, set with 292 brilliant-cut diamonds (1.63 carats), emeralds and onyx.","white gold, emeralds, onyx, diamonds",57000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/58/85/46/588546.png
68,"Ring - 950‰ platinum, 700 brilliant-cut diamonds totaling 5.05 carats, emeralds, onyx.","platinum, emeralds, onyx, diamonds",183000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/10/18/10/4/1018104.png
69,"Caresse d'Orchidées par Cartier ring, 18K pink gold, set with 2 brilliant-cut diamonds totaling 0.03 carat.","pink gold, diamonds",4000.0,e7db433a-43a4-ed3d-ac77-59ac72919e0c,https://www.cartier.sg//content/dam/rcq/car/15/08/65/9/1508659.png
70,"Les Oiseaux Libérés ring - white gold, sapphires, emerald eyes, ceramic, onyx, brilliant-cut diamonds","white gold, sapphires, emeralds, onyx, black ceramic, diamonds",47900.0,abb086dc-9032-1d14-63f2-efa15f56d1d0,https://www.cartier.sg//content/dam/rcq/car/59/13/11/591311.png
71,"Les Oiseaux Libérés ring, 18K white gold, gray mother-of-pearl, emeralds, sapphire beads, set with 147 brilliant-cut diamonds totaling 1.00 carat.","white gold, sapphires, emeralds, mother-of-pearl, diamonds",65000.0,abb086dc-9032-1d14-63f2-efa15f56d1d0,https://www.cartier.sg//content/dam/rcq/car/10/22/64/2/1022642.png
72,"Les Oiseaux Libérés ring, 18K white gold, gray mother-of pearl, emerald, sapphire, set with 446 brilliant-cut diamonds totaling 2.68 carats.","white gold, sapphires, emeralds, mother-of-pearl, diamonds",68500.0,abb086dc-9032-1d14-63f2-efa15f56d1d0,https://www.cartier.sg//content/dam/rcq/car/91/02/64/910264.png
73,"Les Oiseaux Libérés ring, 18K white gold, emeralds, set with 223 brilliant-cut diamonds totaling 3.50 carats.","white gold, emeralds, diamonds",78000.0,abb086dc-9032-1d14-63f2-efa15f56d1d0,https://www.cartier.sg//content/dam/rcq/car/99/97/17/999717.png
74,"Les Oiseaux Libérés ring, 18K yellow gold, emeralds, onyx, set with 175 brilliant-cut diamonds totaling 4.10 carats.","yellow gold, emeralds, onyx, diamonds",85500.0,abb086dc-9032-1d14-63f2-efa15f56d1d0,https://www.cartier.sg//content/dam/rcq/car/99/95/82/999582.png
75,"Ring - 950‰ platinum, 749 brilliant-cut diamonds totaling 5.45 carats, emeralds.","platinum, emeralds, diamonds",143000.0,48ad8a4c-e329-d741-2b92-728c2fd56578,https://www.cartier.sg//content/dam/rcq/car/96/29/77/962977.png
76,"Cactus de Cartier ring, 18K yellow gold, set with 6 brilliant-cut diamonds totaling 0.27 carats.","yellow gold, diamonds",11800.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/10/54/17/6/1054176.png
77,"Cactus de Cartier ring, 18K pink gold, set with 1 brilliant-cut diamond totaling 0.018 carats.","pink gold, diamond",4350.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/14/69/51/1/1469511.png
78,"Cactus de Cartier ring, 18K pink gold, set with 1 brilliant-cut diamond totaling 0.018 carats.","pink gold, diamond",5700.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/14/69/28/7/1469287.png
79,"Cactus de Cartier ring, 18K pink gold, set with 19 brilliant-cut diamonds totaling 0.47 carats.","pink gold, diamonds",15400.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/14/69/51/4/1469514.png
80,"Cactus de Cartier ring, 18K yellow gold, set with 12 brilliant-cut diamonds totaling 0.41 carat.","yellow gold, diamonds",18500.0,c9a0bb86-997b-b4ec-0234-89f075e09882,https://www.cartier.sg//content/dam/rcq/car/10/54/24/6/1054246.png
